0/t2,09-03T07:14:50/t3,09-03T05:12:50
1/t1,09-03T08:13:50/t0,09-03T09:13:50
2/t0,09-03T09:18:50/t2,09-03T07:10:50
3/t3,09-03T05:12:50/t1,09-03T08:11:50
4/t4,09-03T07:19:50/t3,09-03T05:12:50
5/t8,09-03T08:12:50/t0,09-03T09:19:50
6/t4,09-03T09:11:50/t2,09-03T07:12:50
7/t3,09-03T05:14:50/t1,09-03T08:14:50
8/t2,09-03T07:19:50/t3,09-03T05:15:50
9/t1,09-03T08:12:50/t0,09-03T09:12:50
10/t5,09-03T07:14:50/t3,09-03T05:12:50
11/t5,09-03T08:13:50/t0,09-03T09:13:50
12/t0,09-03T09:18:50/t2,09-03T07:10:50
13/t8,09-03T05:12:50/t1,09-03T08:11:50
14/t3,09-03T07:19:50/t3,09-03T05:12:50
15/t9,09-03T08:12:50/t0,09-03T09:19:50
16/t6,09-03T09:11:50/t2,09-03T07:12:50
17/t3,09-03T05:14:50/t1,09-03T08:14:50
18/t2,09-03T07:19:50/t3,09-03T05:15:50
19/t1,09-03T08:12:50/t0,09-03T09:12:50
20/t2,09-03T07:14:50/t3,09-03T05:12:50
21/t1,09-03T08:13:50/t0,09-03T09:13:50
22/t0,09-03T09:18:50/t2,09-03T07:10:50
23/t3,09-03T05:12:50/t1,09-03T08:11:50
24/t4,09-03T07:19:50/t3,09-03T05:12:50
25/t8,09-03T08:12:50/t0,09-03T09:19:50
26/t4,09-03T09:11:50/t2,09-03T07:12:50
27/t3,09-03T05:14:50/t1,09-03T08:14:50
28/t2,09-03T07:19:50/t3,09-03T05:15:50
29/t1,09-03T08:12:50/t0,09-03T09:12:50
20/t2,09-03T07:14:50/t3,09-03T05:12:50
21/t1,09-03T08:13:50/t0,09-03T09:13:50
22/t0,09-03T09:18:50/t2,09-03T07:10:50
23/t3,09-03T05:12:50/t1,09-03T08:11:50
24/t4,09-03T07:19:50/t3,09-03T05:12:50
25/t8,09-03T08:12:50/t0,09-03T09:19:50
26/t4,09-03T09:11:50/t2,09-03T07:12:50
27/t3,09-03T05:14:50/t1,09-03T08:14:50
28/t2,09-03T07:19:50/t3,09-03T05:15:50
29/t1,09-03T08:12:50/t0,09-03T09:12:50
30/t2,09-03T07:14:50/t3,09-03T05:12:50
31/t1,09-03T08:13:50/t0,09-03T09:13:50
32/t0,09-03T09:18:50/t2,09-03T07:10:50
33/t3,09-03T05:12:50/t1,09-03T08:11:50
34/t4,09-03T07:19:50/t3,09-03T05:12:50
35/t8,09-03T08:12:50/t0,09-03T09:19:50
36/t4,09-03T09:11:50/t2,09-03T07:12:50
37/t3,09-03T05:14:50/t1,09-03T08:14:50
38/t2,09-03T07:19:50/t3,09-03T05:15:50
39/t1,09-03T08:12:50/t0,09-03T09:12:50